A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
,,46.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,69.0,51.0,0
1.0,123.0,,1.0,11.0,8.0,87.0,0.0,1.0,3.0,1.0,2.0,119.0,2.0,0
1.0,,151.0,1.0,8.0,4.0,58.0,1.0,0.0,1.0,0.0,,11.0,,1
0.0,,83.0,2.0,3.0,5.0,14.0,1.0,0.0,,1.0,2.0,,1.0,0
1.0,234.0,51.0,1.0,7.0,4.0,5.0,0.0,,1.0,,,131.0,1.0,0
1.0,238.0,102.0,2.0,,5.0,6.0,0.0,0.0,1.0,0.0,2.0,158.0,1.0,0
,124.0,26.0,2.0,,8.0,5.0,0.0,,1.0,1.0,2.0,77.0,88.0,0
1.0,135.0,193.0,2.0,2.0,4.0,4.0,,0.0,1.0,,2.0,,93.0,0
0.0,280.0,132.0,2.0,10.0,5.0,99.0,1.0,1.0,7.0,0.0,,123.0,239.0,1
,48.0,,2.0,8.0,4.0,47.0,1.0,,,,2.0,69.0,200.0,1
1.0,190.0,47.0,2.0,,4.0,38.0,1.0,,2.0,1.0,,156.0,238.0,1
0.0,,,,,4.0,1.0,0.0,,1.0,,,1.0,,0
1.0,213.0,78.0,2.0,11.0,8.0,113.0,1.0,,1.0,1.0,2.0,33.0,127.0,1
,166.0,,1.0,5.0,3.0,1.0,0.0,0.0,1.0,,2.0,53.0,21.0,0
1.0,177.0,,2.0,,8.0,63.0,,1.0,7.0,0.0,,53.0,,1
1.0,184.0,,1.0,13.0,4.0,3.0,0.0,0.0,,0.0,2.0,63.0,1.0,0
1.0,263.0,213.0,2.0,11.0,8.0,6.0,1.0,1.0,2.0,0.0,,,47.0,0
,70.0,5.0,,4.0,4.0,4.0,,0.0,,,2.0,69.0,44.0,0
1.0,56.0,160.0,,8.0,4.0,65.0,1.0,0.0,1.0,1.0,2.0,1.0,,1
,,87.0,,8.0,5.0,7.0,1.0,0.0,1.0,1.0,2.0,53.0,,1
1.0,37.0,126.0,2.0,7.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0,32.0,2.0,0
1.0,165.0,199.0,2.0,,4.0,65.0,1.0,1.0,10.0,0.0,2.0,,133.0,1
0.0,72.0,26.0,2.0,8.0,4.0,47.0,,1.0,3.0,1.0,2.0,,107.0,0
1.0,,66.0,2.0,3.0,,26.0,0.0,0.0,,,2.0,,,0
1.0,259.0,97.0,2.0,11.0,4.0,82.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1
0.0,269.0,96.0,2.0,4.0,,,0.0,0.0,,1.0,1.0,86.0,1.0,0
0.0,124.0,46.0,2.0,,4.0,47.0,1.0,0.0,1.0,0.0,1.0,,1.0,0
1.0,,109.0,2.0,3.0,,85.0,,0.0,1.0,0.0,2.0,73.0,129.0,0
1.0,,40.0,1.0,9.0,4.0,7.0,0.0,0.0,1.0,0.0,2.0,1.0,75.0,0
1.0,114.0,194.0,2.0,3.0,5.0,,0.0,,1.0,1.0,2.0,,1.0,0
,,26.0,2.0,7.0,,,0.0,0.0,1.0,1.0,1.0,,,0
0.0,81.0,27.0,1.0,11.0,4.0,37.0,1.0,,3.0,1.0,2.0,24.0,109.0,1
0.0,18.0,139.0,,,4.0,34.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1
0.0,43.0,5.0,,11.0,,26.0,0.0,1.0,2.0,,2.0,86.0,136.0,1
0.0,243.0,151.0,2.0,11.0,8.0,,1.0,,,0.0,2.0,8.0,143.0,1
1.0,216.0,,2.0,13.0,4.0,5.0,,0.0,1.0,1.0,2.0,1.0,,0
,236.0,,2.0,9.0,4.0,111.0,1.0,1.0,,1.0,,20.0,1.0,1
0.0,90.0,64.0,1.0,8.0,4.0,,0.0,0.0,,0.0,2.0,38.0,,0
1.0,284.0,116.0,2.0,,4.0,2.0,0.0,,1.0,0.0,,1.0,196.0,1
,100.0,37.0,2.0,11.0,4.0,,1.0,,3.0,0.0,2.0,69.0,1.0,0
,93.0,95.0,2.0,9.0,4.0,26.0,,0.0,1.0,1.0,2.0,117.0,7.0,0
1.0,122.0,180.0,2.0,6.0,5.0,7.0,0.0,0.0,1.0,1.0,2.0,,1.0,0
1.0,160.0,37.0,2.0,,,,0.0,,,0.0,,30.0,20.0,0
0.0,169.0,115.0,2.0,2.0,4.0,,0.0,0.0,1.0,0.0,2.0,95.0,,0
1.0,53.0,,1.0,10.0,8.0,31.0,0.0,0.0,1.0,0.0,2.0,92.0,1.0,0
1.0,263.0,73.0,,,8.0,96.0,1.0,1.0,12.0,0.0,,24.0,,1
1.0,183.0,52.0,2.0,14.0,8.0,,1.0,1.0,5.0,1.0,,89.0,144.0,1
0.0,38.0,6.0,2.0,11.0,4.0,,0.0,,1.0,1.0,2.0,,1.0,0
1.0,,91.0,2.0,14.0,,3.0,0.0,,1.0,1.0,2.0,156.0,1.0,0
