A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
,126.0,47.0,2.0,,4.0,,,,6.0,,2.0,,,1
0.0,,26.0,2.0,,,63.0,,,2.0,,,,145.0,1
,,33.0,2.0,,,14.0,0.0,0.0,,,,69.0,,0
,,,,,,,1.0,,2.0,0.0,2.0,,90.0,1
,,13.0,,,,,,,1.0,,2.0,,,0
1.0,,,,8.0,,4.0,,,3.0,0.0,2.0,1.0,,0
1.0,,,2.0,,,79.0,,1.0,2.0,1.0,,,,1
,,,,6.0,,,,,,1.0,,,1.0,0
1.0,250.0,52.0,,,,6.0,,,,,,53.0,1.0,0
,,78.0,2.0,,,113.0,,,,,2.0,,,1
,,40.0,,,4.0,,,0.0,,,2.0,,,0
,90.0,183.0,,,5.0,,1.0,1.0,,,,,110.0,1
,,65.0,,8.0,,,,1.0,,,2.0,,123.0,0
1.0,,,2.0,,,29.0,1.0,0.0,,,,,,0
,49.0,,2.0,,,,1.0,,,,2.0,,,1
1.0,,,2.0,,7.0,,,,10.0,1.0,,,61.0,1
1.0,218.0,37.0,,,,,0.0,,,,2.0,138.0,1.0,1
,,,,,4.0,,,1.0,,0.0,,,,1
0.0,,94.0,2.0,11.0,8.0,,,1.0,7.0,,,12.0,120.0,1
1.0,52.0,,,,4.0,28.0,,,9.0,,,,,1
,,,,,,60.0,1.0,,,0.0,,,202.0,1
1.0,181.0,34.0,2.0,,,99.0,,0.0,,,,,,1
,,,,,4.0,,,,,,,126.0,168.0,1
1.0,,,,,,31.0,,1.0,,1.0,,,,1
,,,2.0,,,,1.0,1.0,8.0,1.0,,,,1
,95.0,,1.0,,4.0,,,,,0.0,,38.0,1.0,0
1.0,306.0,,2.0,2.0,,,,0.0,,,2.0,,,0
1.0,204.0,,,,,,0.0,,3.0,,,77.0,,0
,,150.0,,10.0,2.0,1.0,,0.0,,,,1.0,,1
1.0,246.0,,,,,,,,1.0,,,,,0
1.0,124.0,55.0,2.0,14.0,8.0,26.0,,,5.0,0.0,2.0,45.0,,1
,,,2.0,,,3.0,,,,0.0,2.0,47.0,,0
1.0,,,1.0,9.0,,,,,,,,,1.0,1
,,102.0,,,,1.0,,,3.0,,2.0,,,0
,339.0,,2.0,,,,1.0,,,1.0,,,150.0,1
0.0,,127.0,2.0,,4.0,,,1.0,,,2.0,53.0,,1
1.0,,101.0,,,,,,,,1.0,2.0,,173.0,1
,,,2.0,,,21.0,,0.0,1.0,0.0,,,101.0,0
0.0,,,,,,,,,,0.0,,,,0
1.0,194.0,,2.0,,4.0,,,0.0,1.0,0.0,,65.0,,0
1.0,,,,,4.0,16.0,,,4.0,,2.0,63.0,,0
,,25.0,2.0,,,7.0,,,2.0,1.0,,86.0,,0
,48.0,,2.0,8.0,4.0,47.0,1.0,1.0,12.0,,2.0,69.0,,1
1.0,167.0,,2.0,6.0,,,,0.0,,,2.0,,1.0,0
,133.0,74.0,,,,,1.0,1.0,,,2.0,20.0,,1
,,148.0,2.0,8.0,4.0,,,,1.0,,,45.0,1.0,0
,,,,,4.0,,1.0,,1.0,,2.0,,,1
0.0,,,,,8.0,,1.0,1.0,12.0,1.0,2.0,,,1
,23.0,,,,,115.0,0.0,,,1.0,,,1.0,1
,,,2.0,,,43.0,,,11.0,,2.0,,149.0,0
,,,,13.0,,,,0.0,1.0,0.0,2.0,141.0,230.0,1
,,139.0,,6.0,4.0,3.0,,,1.0,0.0,2.0,,1.0,0
,,40.0,,,,,0.0,,1.0,,2.0,,,0
,326.0,124.0,2.0,,4.0,124.0,,1.0,,,2.0,,167.0,1
1.0,77.0,,,8.0,,,1.0,,,,,,,1
