A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,target
1.0,253.0,149.0,2.0,14.0,8.0,107.0,1.0,1.0,9.0,0.0,2.0,1.0,1.0,1
3.403664653219058,86.97936161904741,109.66901325641749,1.5775064069009246,6.868522620590929,4.431166797880283,38.54179450538705,0.5216713155926659,0.4158189297178644,3.3554205172182408,0.4630917989437508,1.9316940659582569,58.76159524807276,55.14165595684509,1
0.0,92.0,180.0,2.0,6.0,4.0,37.0,1.0,1.0,13.0,1.0,2.0,38.0,121.0,1
1.0,207.0,15.0,1.0,9.0,4.0,8.0,0.0,0.0,1.0,1.0,2.0,104.0,3.0,0
-0.4287248814375871,178.91549558931143,199.81733524062903,1.2871157963031046,11.250986778115006,5.436940383718862,33.35843775145764,0.4363651811138734,0.344793736574699,3.4502892459225247,0.4782982898585922,1.924610274101469,58.88017110124361,55.16575300877466,0
-0.8232071148954233,130.9456176152654,-73.91878984792037,2.2403534120088557,7.904310831448281,4.679021151731314,39.96732881939944,0.6925335997608417,0.4802921020075893,3.1021236172323445,0.4586371122418162,1.9370212071358055,58.98830839078796,55.12807658138848,1
1.0,281.0,11.0,2.0,8.0,5.0,126.0,1.0,1.0,20.0,0.0,2.0,1.0,233.0,1
1.0,127.0,55.0,2.0,4.0,8.0,77.0,1.0,1.0,3.0,1.0,2.0,64.0,1.0,1
1.0,98.0,33.0,2.0,6.0,4.0,14.0,0.0,0.0,1.0,0.0,2.0,69.0,1.0,0
0.7251326489908956,116.12421566247347,10.805023213585187,0.691194408719817,17.083019856585256,4.633332737953892,38.41753036902332,0.2305450968187614,0.4290210513481277,3.3574765281492582,0.3855547717786383,1.92978629547108,59.46305061293604,55.281711835518685,0
1.0,16.0,119.0,2.0,3.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,18.0,50.0,0
0.0,95.0,178.0,2.0,13.0,8.0,73.0,1.0,1.0,7.0,0.0,2.0,131.0,112.0,1
0.0,94.0,40.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,24.0,1.0,0
1.0,188.0,95.0,2.0,6.0,4.0,26.0,1.0,0.0,1.0,1.0,2.0,86.0,1.0,0
